x,y
10,1.1677840267884849e-07
20,7.420977249560379e-08
30,7.626461065567853e-08
40,9.288440953779482e-08
50,1.2404839075832656e-07
60,1.1333923265446901e-07
70,6.625071726064433e-08
80,9.342614479280256e-08
90,9.29644912958177e-08
100,3.4965541151018443e-08
110,1.1818409707987385e-07
120,7.232744421413616e-08
130,1.0420072681223507e-07
140,7.450638719122458e-08
150,1.1023660601661717e-07
160,1.0970775263674105e-07
170,6.869399694331789e-08
180,1.1429961427255343e-07
190,8.142111104547385e-08
200,6.765961393606302e-08
210,1.0182504812525475e-07
220,7.965031695711031e-08
230,1.2643397551545096e-07
240,7.716097246204889e-08
250,1.2093569517143917e-07
260,9.86717931331692e-08
270,8.154994713384744e-08
280,1.2416680344358293e-07
290,8.618865782218238e-08
300,1.0961690654427223e-07
310,8.951573868056486e-08
320,9.368399871954573e-08
330,1.2579140062338487e-07
340,8.883363580766763e-08
350,1.434659791296936e-07
360,9.563968112863222e-08
370,1.0288272111864895e-07
380,1.1221038082169169e-07
390,9.2276771306666e-08
400,1.2950055449374026e-07
410,8.772770608550697e-08
420,1.1773772466020024e-07
430,1.058609074121927e-07
440,9.39699293392211e-08
450,1.4207834886606035e-07
460,9.505878731662445e-08
470,1.2433850412347336e-07
480,9.086085539476726e-08
490,9.655423136973013e-08
500,1.1336730421735308e-07
510,8.474063834520623e-08
520,1.3158366339047646e-07
530,8.973055518288053e-08
540,1.020077445494612e-07
550,1.1500893015055409e-07
560,8.97059359790229e-08
570,1.2828263223235456e-07
580,7.947016564366059e-08
590,1.1116666902947018e-07
600,8.736260004758035e-08
610,8.094846675483585e-08
620,1.2362302981762912e-07
630,8.325745997525294e-08
640,1.1914994554987548e-07
650,8.875796171637299e-08
660,9.375032881105439e-08
670,1.0855244028218119e-07
680,6.978274708998406e-08
690,1.2344253199230584e-07
700,7.192670203255412e-08
710,8.568966515282048e-08
720,9.353810973042555e-08
730,7.947702331015417e-08
740,1.1871484411809422e-07
750,7.574299457867092e-08
760,1.0971022601208058e-07
770,8.031918939479362e-08
780,6.811158755908995e-08
790,1.1291004711742101e-07
800,6.975651211398433e-08
810,1.0506089942794439e-07
820,7.108710455965489e-08
830,8.617327404106154e-08
840,1.0357393624308135e-07
850,7.014753908011584e-08
860,1.276511019574177e-07
870,7.269011994400266e-08
880,8.582176549862842e-08
890,8.894321871304091e-08
900,7.505682323094052e-08
910,1.1380739836811354e-07
920,6.846403893979334e-08
930,1.1203920715033048e-07
940,8.547207409713053e-08
950,7.976984972838853e-08
960,1.2207455527180434e-07
970,7.694244794742067e-08
980,1.1194879323630996e-07
990,7.26289275702886e-08
1000,8.901286432265157e-08
1010,9.78650111597671e-08
1020,6.721852872000206e-08
1030,1.2774970678604174e-07
1040,7.651020262830925e-08
1050,9.536128756518177e-08
1060,9.717597136039931e-08
1070,7.93047322996142e-08
1080,1.1445509922607479e-07
1090,6.830787337803311e-08
1100,1.0962565887499134e-07
1110,7.556607886921061e-08
1120,7.32868478662967e-08
1130,1.1567138268523004e-07
1140,7.618838829257852e-08
1150,1.14792150200964e-07
1160,8.025303208804855e-08
1170,8.893153072453607e-08
1180,9.378293902927956e-08
1190,6.687606053395291e-08
1200,1.2427070036051642e-07
1210,6.625961372146653e-08
1220,9.151245893021755e-08
1230,9.038043263261991e-08
1240,7.84343854549482e-08
1250,1.1726381344915679e-07
1260,7.825438229845877e-08
1270,1.1355799498708868e-07
1280,7.441773362331465e-08
1290,7.883057739925344e-08
1300,1.1248120968495776e-07
1310,6.996268890379025e-08
1320,1.1711772532386905e-07
1330,8.018337841637831e-08
1340,9.686185775204213e-08
1350,1.0337879247687505e-07
1360,8.39510747372893e-08
1370,1.3124817191097573e-07
1380,7.410045256888454e-08
1390,1.0402305584504187e-07
1400,9.487968837186898e-08
1410,8.16342516178575e-08
1420,1.2241895366619082e-07
1430,8.49770250828041e-08
1440,1.3011116303598e-07
1450,9.245174061266934e-08
1460,9.59425770365413e-08
1470,1.2670160299627357e-07
1480,8.572993115020773e-08
1490,1.2798283423485407e-07
1500,9.251703191481645e-08
1510,1.038834372150716e-07
1520,1.0446783212265878e-07
1530,8.85750958452752e-08
1540,1.4540724734337776e-07
1550,8.926274613749505e-08
1560,1.1654304785954689e-07
1570,1.0558983294277848e-07
1580,8.894081327740715e-08
1590,1.211263146772271e-07
1600,8.904303745771572e-08
1610,1.2611605036798538e-07
1620,8.425550434429973e-08
1630,9.254565857287987e-08
1640,1.2845590795386117e-07
1650,8.512996975242088e-08
1660,1.322749759202736e-07
1670,8.967409351200748e-08
1680,1.022005099896393e-07
1690,9.390807243390533e-08
1700,8.166183101609334e-08
1710,1.2988689441298485e-07
1720,7.546782315357736e-08
1730,1.0697690093290398e-07
1740,9.901987199807739e-08
1750,8.364300403845547e-08
1760,1.1836005631904904e-07
1770,8.121819971922935e-08
1780,1.2063618411315132e-07
1790,7.144381861487034e-08
1800,8.561804898807972e-08
1810,1.0699055532032995e-07
1820,6.990593374193831e-08
1830,1.1734833870562918e-07
1840,8.433270878994771e-08
1850,9.826020052519127e-08
1860,9.201268918968304e-08
1870,7.439506062100161e-08
1880,1.2165901250960616e-07
1890,6.561691485992342e-08
1900,1.0153567541087897e-07
1910,8.21353493474863e-08
1920,7.239314690685377e-08
1930,1.0508624760829647e-07
1940,7.996041325898199e-08
1950,1.1647327634527739e-07
1960,7.448248042968285e-08
1970,8.120115214067087e-08
1980,1.0200757711919757e-07
1990,6.28279650238753e-08
2000,1.1674473907499005e-07
2010,7.20151109193101e-08
2020,9.231826123971537e-08
2030,8.225663249999334e-08
2040,8.017785776920943e-08
2050,1.1773208537541441e-07
2060,7.17657300767387e-08
2070,1.0571162054499963e-07
2080,8.214046539554264e-08
2090,6.969894887435098e-08
2100,1.0891575324007672e-07
2110,7.086734091868063e-08
2120,1.1535615758332434e-07
2130,6.99810613710755e-08
2140,9.469026030681119e-08
2150,9.91999284361767e-08
2160,7.701109184902664e-08
2170,1.2121761568064254e-07
2180,8.107301481825818e-08
2190,9.367222787121174e-08
2200,8.965666888102036e-08
2210,7.567668211625861e-08
2220,1.201702187466179e-07
2230,7.078861587003175e-08
2240,1.1822097178622277e-07
2250,8.595104440772177e-08
2260,8.677332545893458e-08
2270,1.0848548579646551e-07
2280,8.290903356295474e-08
2290,1.1744974849860697e-07
2300,7.670677062291136e-08
2310,9.051860495654556e-08
2320,1.0558642417396635e-07
2330,7.784854503019159e-08
2340,1.3066308359350473e-07
2350,9.101234755518361e-08
2360,1.1321986355917725e-07
2370,9.273065847409166e-08
2380,9.146283685042409e-08
2390,1.2333749048346747e-07
2400,8.309086712667729e-08
2410,1.186908692036592e-07
2420,9.645577484301817e-08
2430,9.426901570184129e-08
2440,1.2257984968211972e-07
2450,9.911820706837683e-08
2460,1.4259693966485115e-07
2470,8.7437309031862e-08
2480,1.0886785903198699e-07
2490,1.1350560441184567e-07
2500,8.954226446899456e-08
2510,1.2858601701605423e-07
2520,9.830280595488366e-08
2530,1.2030954616319958e-07
2540,1.0239966518393709e-07
2550,9.820558947218854e-08
2560,1.3973376283503095e-07
2570,8.586555664299939e-08
2580,1.2684815572623065e-07
2590,9.519436145123998e-08
2600,9.681635095389956e-08
2610,1.0649486438676096e-07
2620,9.062311543355704e-08
2630,1.3449141579824992e-07
2640,8.550419546662673e-08
2650,1.0648649604095014e-07
2660,1.1544470498396671e-07
2670,7.980105155659403e-08
2680,1.265112531826413e-07
2690,8.599490456790726e-08
2700,1.1351403439971936e-07
2710,8.069466451309575e-08
2720,8.830549485361312e-08
2730,1.2212600961480325e-07
2740,8.123917376382178e-08
2750,1.2231505515332337e-07
2760,9.317389100501573e-08
2770,8.642217279427622e-08
2780,1.0155375168833673e-07
2790,8.091618201951002e-08
2800,1.2307389024402366e-07
2810,6.890186374514483e-08
2820,1.0279008462384639e-07
2830,9.31636669262608e-08
2840,7.840736260589741e-08
2850,1.2612003294155955e-07
2860,8.373622446377993e-08
2870,1.062862066173624e-07
2880,7.935572605895655e-08
2890,8.109780273873943e-08
2900,1.0772423487022969e-07
2910,6.792563705651511e-08
2920,1.2087398843688865e-07
2930,7.790136032034574e-08
2940,8.930805159010192e-08
2950,1.0428489621340686e-07
2960,8.089119603890445e-08
2970,1.1538560907880798e-07
2980,7.067585067295339e-08
2990,1.0084141251243006e-07
3000,8.036432429499491e-08
3010,7.12541733238016e-08
3020,1.2172292351198485e-07
3030,7.672448821636642e-08
3040,1.1124145476593464e-07
3050,8.196514004326305e-08
3060,8.985396003349993e-08
3070,1.0557705065996461e-07
3080,7.070834150032098e-08
3090,1.2556575936255554e-07
3100,7.506242925789072e-08
3110,8.666097992095857e-08
3120,9.895480730052479e-08
3130,8.272747499397949e-08
3140,1.2176743127855174e-07
3150,7.696583281992791e-08
3160,1.1435163348980217e-07
3170,8.759733063694709e-08
3180,7.545054522492592e-08
3190,1.2354112342229778e-07
3200,7.88671573920098e-08
3210,1.115067826731752e-07
3220,8.098544147506534e-08
3230,9.538464180755081e-08
3240,1.0974123008876933e-07
3250,8.05276272514234e-08
3260,1.3448738184912833e-07
3270,8.11671956145175e-08
3280,9.561088954795787e-08
3290,1.0131625398537322e-07
3300,8.564063252903944e-08
3310,1.2356080997853995e-07
3320,7.887444072507026e-08
3330,1.2111759363921378e-07
3340,9.514977459035476e-08
3350,9.045941757613013e-08
3360,1.3401593130639396e-07
3370,8.785190937001024e-08
3380,1.2653963181326196e-07
3390,8.939760694021315e-08
3400,1.0174713981249409e-07
3410,1.1588134864110816e-07
3420,8.825768420806519e-08
3430,1.418680536839074e-07
3440,9.645243697074766e-08
3450,1.1492775018426618e-07
3460,1.1599263954423031e-07
3470,9.544167090726608e-08
3480,1.3868472660237514e-07
3490,8.88609201725956e-08
3500,1.302912566637409e-07
3510,9.80763237529305e-08
3520,9.672518723732567e-08
3530,1.3675532608204885e-07
3540,9.883695301840252e-08
3550,1.3872705616205838e-07
3560,1.0038150318879703e-07
3570,1.0682793681161945e-07
3580,1.1887538557745723e-07
3590,8.577099811834649e-08
3600,1.406259181437407e-07
3610,8.579007535566135e-08
3620,1.095350838781629e-07
3630,1.1012855450409939e-07
3640,9.325473894300955e-08
3650,1.394694268736e-07
3660,9.265469457089143e-08
3670,1.22853499123582e-07
3680,8.820884370880185e-08
3690,8.33549484847277e-08
3700,1.197655820533575e-07
3710,7.634319053391112e-08
3720,1.2518839187987314e-07
3730,8.450987122391266e-08
3740,1.0024110535316832e-07
3750,1.1471668561449199e-07
3760,8.36246506698543e-08
3770,1.3213536410771436e-07
3780,7.506891507171762e-08
3790,9.527644452943495e-08
3800,9.073583294061926e-08
3810,7.74601055068233e-08
3820,1.2057013473251124e-07
3830,8.036108289102084e-08
3840,1.2286170358350346e-07
3850,8.946130354347161e-08
3860,8.729075190953352e-08
3870,1.211769305270936e-07
3880,7.303730206472817e-08
3890,1.1641599136936004e-07
3900,7.84253458056786e-08
3910,9.077150148451192e-08
3920,9.877867577198333e-08
3930,7.939214165770545e-08
3940,1.3620112110376331e-07
3950,8.04695897964226e-08
3960,1.0553126417847783e-07
3970,9.809673197996958e-08
3980,7.599732941237171e-08
3990,1.1394052700865386e-07
4000,7.804605727687083e-08
4010,1.1626544613446023e-07
4020,8.0837613748719e-08
4030,8.560435638079359e-08
4040,1.2277575105793405e-07
4050,7.971815350394077e-08
4060,1.2289106666421874e-07
4070,8.156698139851638e-08
4080,9.121881386887843e-08
4090,9.411227690177838e-08
4100,7.644904956319091e-08
4110,1.3002330077316387e-07
4120,7.170800225780801e-08
4130,1.0367221245257904e-07
4140,9.93396073488314e-08
4150,8.186400580587718e-08
4160,1.1503877031546804e-07
4170,7.869446721836917e-08
4180,1.1617788479038715e-07
4190,7.335359595447044e-08
4200,8.092933095937076e-08
4210,1.157479832998336e-07
4220,7.355167575079765e-08
4230,1.2335694193992634e-07
4240,8.571088430756171e-08
4250,9.996981710415932e-08
4260,9.605467443327087e-08
4270,8.295478355735788e-08
4280,1.3070625080207367e-07
4290,7.713190496566486e-08
4300,1.0817038138392122e-07
4310,9.64691153885813e-08
4320,8.115018308455456e-08
4330,1.221588481725662e-07
4340,9.129560303976813e-08
4350,1.311599664730673e-07
4360,8.957785582811985e-08
4370,1.0148307167955716e-07
4380,1.2270057928829925e-07
4390,8.709637147335656e-08
4400,1.3753619320519882e-07
4410,9.48235138877085e-08
4420,1.0884425875430474e-07
4430,1.1003025350986212e-07
4440,9.869485532700428e-08
4450,1.453487629954459e-07
4460,9.738969079976353e-08
4470,1.3147805695989815e-07
4480,1.0941500078004262e-07
4490,1.0251437547793604e-07
4500,1.4294843045874065e-07
4510,1.0443730733673099e-07
4520,1.4806955415754373e-07
4530,1.0667791816621783e-07
4540,1.1999744395379973e-07
4550,1.398555428041588e-07
4560,1.0850881228266456e-07
4570,1.5389492673254918e-07
4580,1.1575771812797115e-07
4590,1.2899045897255416e-07
4600,1.194343186781183e-07
4610,1.0484892195512408e-07
4620,1.5929482561183342e-07
4630,1.0090987322803581e-07
4640,1.383675533836726e-07
4650,1.1666677041249388e-07
4660,1.0440791289337734e-07
4670,1.2890547426135654e-07
4680,1.0880358570312038e-07
4690,1.4609417438104082e-07
4700,9.697549433124588e-08
4710,1.0864575976723672e-07
4720,1.2629035541070882e-07
4730,8.657132195138508e-08
4740,1.446865384278755e-07
4750,1.0157015405749566e-07
4760,1.2031489638801375e-07
4770,8.875787423369004e-08
4780,9.279020780113296e-08
4790,1.3757777578570484e-07
4800,8.749563427812173e-08
4810,1.184815508618339e-07
4820,1.0484202961110701e-07
4830,9.350328587499528e-08
4840,1.1855707147264924e-07
4850,1.0310222143749834e-07
4860,1.3241895789731888e-07
4870,7.615413972595979e-08
4880,1.0470445931249637e-07
4890,1.1889106014204172e-07
4900,8.247728021249644e-08
4910,1.3388975736110214e-07
4920,1.099218139609344e-07
4930,1.309492544821397e-07
4940,1.1785073486457715e-07
4950,1.2088993127499992e-07
4960,1.8282939743749388e-07
4970,1.0330578287500228e-07
4980,8.642508940624691e-08
4990,1.7121587312499676e-07
5000,0.0
